request_id,metadata
request-0,"{'law_index': '시행령_제1조의2', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제1조의2_자기자본의 범위'}"
request-1,"{'law_index': '시행령_제1조의4제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제1조의4제1항_특수관계인의 범위'}"
request-2,"{'law_index': '시행령_제1조의4제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제1조의4제1항_특수관계인의 범위'}"
request-3,"{'law_index': '시행령_제1조의4제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제1조의4제2항_특수관계인의 범위'}"
request-4,"{'law_index': '시행령_제1조의4제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제1조의4제2항_특수관계인의 범위'}"
request-5,"{'law_index': '시행령_제1조의5제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제1조의5제1항_금융업의 범위 등'}"
request-6,"{'law_index': '시행령_제1조의7제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제1조의7제1항_은행업 인가의 세부요건'}"
request-7,"{'law_index': '시행령_제3조제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제3조제2항_은행업 인가신청서의 내용 등'}"
request-8,"{'law_index': '시행령_제3조의3', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제3조의3_국외현지법인 등의 신설계획 사전 신고 대상'}"
request-9,"{'law_index': '시행령_제4조제3항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제4조제3항_자료 제출 요구 등'}"
request-10,"{'law_index': '시행령_제4조의2제3항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제4조의2제3항_주식보유상황 등의 보고'}"
request-11,"{'law_index': '시행령_제10조제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제10조제2항_기관전용 사모집합투자기구등의 주식보유에 대한 승인 등'}"
request-12,"{'law_index': '시행령_제10조제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제10조제2항_기관전용 사모집합투자기구등의 주식보유에 대한 승인 등'}"
request-13,"{'law_index': '시행령_제10조의2제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제10조의2제1항_한도초과주식의 의결권 제한 등'}"
request-14,"{'law_index': '시행령_제11조의2제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제11조의2제1항_전환계획의 승인 요건 등'}"
request-15,"{'law_index': '시행령_제18조의2제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제18조의2제2항_겸영업무의 범위'}"
request-16,"{'law_index': '시행령_제18조의2제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제18조의2제2항_겸영업무의 범위'}"
request-17,"{'law_index': '시행령_제18조의3제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제18조의3제1항_이해상충의 관리'}"
request-18,"{'law_index': '시행령_제18조의3제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제18조의3제2항_이해상충의 관리'}"
request-19,"{'law_index': '시행령_제19조제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제19조제1항_금융채의 발행 등'}"
request-20,"{'law_index': '시행령_제19조제6항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제19조제6항_금융채의 발행 등'}"
request-21,"{'law_index': '시행령_제19조제7항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제19조제7항_금융채의 발행 등'}"
request-22,"{'law_index': '시행령_제19조의4제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제19조의4제1항_사채등 등록의 신청'}"
request-23,"{'law_index': '시행령_제19조의4제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제19조의4제2항_사채등 등록의 신청'}"
request-24,"{'law_index': '시행령_제20조의2', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제20조의2_불건전 영업행위의 구체적인 유형 등'}"
request-25,"{'law_index': '시행령_제20조의3제5항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제20조의3제5항_금융사고 예방대책 등'}"
request-26,"{'law_index': '시행령_제20조의7제8항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제20조의7제8항_은행의 대주주에 대한 신용공여한도 등'}"
request-27,"{'law_index': '시행령_제21조의2제6항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제21조의2제6항_증권에 대한 투자한도 등'}"
request-28,"{'law_index': '시행령_제24조의5제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제24조의5제1항_약관의 변경 등'}"
request-29,"{'law_index': '시행령_제24조의7', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제24조의7_고객응대직원의 보호를 위한 조치'}"
request-30,"{'law_index': '시행령_제3조의2제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제3조의2제2항_예비인가'}"
request-31,"{'law_index': '시행령_제3조의4', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제3조의4_상호의 제한'}"
request-32,"{'law_index': '시행령_제18조의4제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제18조의4제1항_금리인하 요구'}"
request-33,"{'law_index': '시행령_제20조의8제2항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제20조의8제2항_대주주가 발행한 지분증권의 취득한도 등'}"
request-34,"{'law_index': '시행령_제29조제1항', 'document_title': '은행법 시행령\n', 'created_date': '시행 2023. 12. 12.', 'revise_info': '대통령령 제33913호, 2023. 12. 12., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제29조제1항_민감정보 및 고유식별정보의 처리'}"
